t,basic_wheel3x1.Struktur.w_a[1],basic_wheel3x1.Struktur.w_a[2],basic_wheel3x1.Struktur.w_a[3]
s,rad/s,rad/s,rad/s
11.171109086872,0.0500703992353425,0.0999867995774906,0.0994553417960367
11.20395627639,0.0500794862141734,0.0999701565621242,0.0994204453890235
11.236803465908,0.0500831124392078,0.0999599725937106,0.099410902802515
11.269650655426,0.0500827693555447,0.0999546259932622,0.0994209354415175
11.302497844944,0.0500796464623967,0.0999528115996363,0.0994455693094262
11.335345034462,0.0500746789722418,0.0999534934616095,0.0994805912307731
11.36819222398,0.0500685920820704,0.0999558625385161,0.0995224905416571
11.401039413498,0.050061932971482,0.0999592954053526,0.0995683925796037
11.433886603016,0.0500551066247659,0.099963321804216,0.0996159935386071
11.466733792534,0.050048404193759,0.0999675955453835,0.099663490088781
11.499580982052,0.0500420233941991,0.0999718662651342,0.0997095115896144
11.53242817157,0.050036095865346,0.0999759668559156,0.0997530611526246
11.565275361088,0.0500306909864109,0.0999797827265301,0.0997934500146479
11.598122550606,0.050025846719101,0.0999832509300666,0.0998302480714408
11.630969740124,0.0500215646194655,0.0999863399280067,0.0998632335264279
11.663816929642,0.0500178258481569,0.0999890418372216,0.0998923488500158
11.69666411916,0.0500145999091972,0.0999913689207122,0.0999176645731357
11.729511308678,0.0500118454056631,0.0999933427247289,0.0999393453901751
11.762358498196,0.0500095190518053,0.0999949939549486,0.0999576240355188
11.795205687714,0.0500075710261913,0.0999963533446187,0.0999727763446972
11.828052877232,0.0500059567207345,0.0999974571760036,0.0999851050949002
11.86090006675,0.0500046325305702,0.0999983385859416,0.0999949229227961
11.893747256268,0.0500035571523956,0.0999990305153609,0.100002542140052
11.926594445786,0.0500026922089318,0.0999995622111053,0.100008264277575
11.959441635304,0.0500020048692938,0.0999999610640262,0.10001237505101
11.992288824822,0.0500014645418327,0.100000250627599,0.100015138734395
12.02513601434,0.0500010441247435,0.100000450580429,0.100016795567407
12.057983203858,0.0500007241307103,0.100000582809621,0.100017562267872
12.090830393376,0.0500004842058885,0.100000660362071,0.100017629082997
12.123677582894,0.0500003077423337,0.10000069593541,0.100017161347961
12.156524772412,0.0500001798067916,0.100000697614522,0.100016299589158
12.18937196193,0.0500000920784517,0.100000680450491,0.100015164751499
12.222219151448,0.0500000340842253,0.10000064731349,0.100013854931652
12.255066340966,0.0499999972601348,0.100000602142342,0.100012449635962
12.287913530484,0.049999977387082,0.100000552910524,0.100011014190157
12.320760720002,0.0499999695141579,0.100000500595355,0.100009597120708
12.35360790952,0.0499999707814734,0.100000448934597,0.100008236387556
12.386455099038,0.0499999749923946,0.100000396841935,0.100006957278828
12.419302288556,0.0499999836223169,0.10000034815395,0.100005778491013
12.452149478074,0.0499999941755754,0.100000303068787,0.100004710587986
12.484996667592,0.0500000051844056,0.10000026205201,0.100003758606922
12.51784385711,0.0500000167658893,0.10000022506632,0.100002922615528
12.550691046628,0.0500000273972164,0.100000192261611,0.100002199599235
